Users on talker.tfb.net at the moment:
Name         Group               Flags  Idle  Site
Flux         Public              U      00:56 metahusky.net              
HeatherS     Public              P      00:45 gamma.barnet.ac.uk         
Heds         public              M      00:30 metahusky.net              
neech        public              M      01:11 arwen.tfb.net              
pkent        Public              U      IDLE  gateb.kw.bbc.co.uk         
Sully        Public              U      54:41 gamma.barnet.ac.uk         
tims         Public              U      01:49 82-69-102-182.dsl.in-addr.z
tomc         Public              U      IDLE  hawking.rbsov.woot.co.uk   
zoe          Public              P      00:39 arwen.tfb.net              
7 active users (2 idle), 9 total.
